customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_squared,tenure_sqrt,tenure_log,tenure_group,tenure^2,SeniorCitizen_zscore,tenure_zscore,MonthlyCharges_zscore,tenure_squared_zscore,tenure_sqrt_zscore,tenure_log_zscore,tenure^2_zscore
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,1,1.0,0.6931471805599453,0-1yr,1.0,-0.43988526114243554,-1.2773538915018072,-1.160240538911508,-0.9208607199092997,-1.6507473607317271,-2.028304338475409,-0.9208607199092997
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,1156,5.830951894845301,3.5553480614894135,2-4yr,1156.0,-0.43988526114243554,0.06632271016718366,-0.25961050958859755,-0.27624795404397307,0.2873950389991962,0.4486981456267786,-0.27624795404397307
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,4,1.4142135623730951,1.0986122886681098,0-1yr,4.0,-0.43988526114243554,-1.236636418723959,-0.3626346088838383,-0.9191864010369223,-1.4845679233758118,-1.6774072065890762,-0.9191864010369223
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,2025,6.708203932499369,3.828641396489095,2-4yr,2025.0,-0.43988526114243554,0.514214910723514,-0.7464824627096546,0.20874641265470134,0.6393421099774604,0.685211338740936,0.20874641265470134
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,4,1.4142135623730951,1.0986122886681098,0-1yr,4.0,-0.43988526114243554,-1.236636418723959,0.1973512211564216,-0.9191864010369223,-1.4845679233758118,-1.6774072065890762,-0.9191864010369223
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,64,2.8284271247461903,2.1972245773362196,0-1yr,64.0,-0.43988526114243554,-0.9923315820568698,1.1594633742522984,-0.8857000235893728,-0.9171958345677156,-0.726647465640217,-0.8857000235893728
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,484,4.69041575982343,3.1354942159291497,1-2yr,484.0,-0.43988526114243554,-0.4222869631669948,0.8088491008443015,-0.6512953814565268,-0.1701796770872507,0.08534872967840955,-0.6512953814565268
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,100,3.1622776601683795,2.3978952727983707,0-1yr,100.0,-0.43988526114243554,-0.9108966365011734,-1.1635638969532902,-0.8656081971208431,-0.7832574530729572,-0.5529832709087674,-0.8656081971208431
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,784,5.291502622129181,3.367295829986474,2-4yr,784.0,-0.43988526114243554,-0.17798212649990558,1.330616313404069,-0.48386349421877956,0.07097195495426573,0.28595420697545826,-0.48386349421877956
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,3844,7.874007874011811,4.143134726391533,4-6yr,3844.0,-0.43988526114243554,1.2064119479469335,-0.2861973739228534,1.223941755606242,1.10705408434624,0.9573797824697823,1.223941755606242
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,169,3.605551275463989,2.6390573296152584,1-2yr,169.0,-0.43988526114243554,-0.7887442181676287,-0.4922455725133346,-0.8270988630561613,-0.6054193360337177,-0.34427709036540943,-0.8270988630561613
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,256,4.0,2.833213344056216,1-2yr,256.0,-0.43988526114243554,-0.6665917998340841,-1.5224865654657413,-0.7785436157572146,-0.44716940637518454,-0.1762508231393797,-0.7785436157572146
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,3364,7.615773105863909,4.07753744390572,4-6yr,3364.0,-0.43988526114243554,1.0435420568355407,1.1827268805447717,0.9560507360258463,1.0034521930158438,0.900610660235795,0.9560507360258463
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,2401,7.0,3.912023005428146,4-6yr,2401.0,-0.43988526114243554,0.6770848018349068,1.2940593749444675,0.41859437799267785,0.7564085479813579,0.7573713516340197,0.41859437799267785
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,625,5.0,3.258096538021482,2-4yr,625.0,-0.43988526114243554,-0.3001345448334502,1.3538798196965427,-0.5726023944547856,-0.04597675492300373,0.19145108552730625,-0.5726023944547856
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,4761,8.306623862918075,4.248495242049359,4-6yr,4761.0,-0.43988526114243554,1.4914342573918709,1.6114400679346443,1.7357252242629557,1.2806164399961513,1.0485607546893054,1.7357252242629557
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,2704,7.211102550927978,3.970291913552122,4-6yr,2704.0,-0.43988526114243554,0.7992372201684514,-1.4659894787554484,0.5877005841028026,0.8411013401164725,0.8077983608389573,0.5877005841028026
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,5041,8.426149773176359,4.276666119016055,4-6yr,5041.0,-0.43988526114243554,1.5728692029475673,1.3937601161979263,1.8919949856848532,1.3285693568499077,1.0729403615473618,1.8919949856848532
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,100,3.1622776601683795,2.3978952727983707,0-1yr,100.0,-0.43988526114243554,-0.9108966365011734,-0.31776927531978183,-0.8656081971208431,-0.7832574530729572,-0.5529832709087674,-0.8656081971208431
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,441,4.58257569495584,3.091042453358316,1-2yr,441.0,-0.43988526114243554,-0.46300443594484303,0.8404210022412302,-0.6752939519606038,-0.21344431864425428,0.04687933815375898,-0.6752939519606038
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,1.0,0.6931471805599453,0-1yr,1.0,2.2729973082324975,-1.2773538915018072,-0.8345514508168763,-0.9208607199092997,-1.6507473607317271,-2.028304338475409,-0.9208607199092997
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,144,3.4641016151377544,2.5649493574615367,0-1yr,144.0,-0.43988526114243554,-0.829461690945477,-1.4942380221105949,-0.8410515203259736,-0.6621679003070101,-0.40841152353522014,-0.8410515203259736
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,1.0,0.6931471805599453,0-1yr,1.0,-0.43988526114243554,-1.2773538915018072,-1.482606268964358,-0.9208607199092997,-1.6507473607317271,-2.028304338475409,-0.9208607199092997
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,3364,7.615773105863909,4.07753744390572,4-6yr,3364.0,-0.43988526114243554,1.0435420568355407,-0.16157144735602996,0.9560507360258463,1.0034521930158438,0.900610660235795,0.9560507360258463
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,2401,7.0,3.912023005428146,4-6yr,2401.0,-0.43988526114243554,0.6770848018349068,-0.17154152148137575,0.41859437799267785,0.7564085479813579,0.7573713516340197,0.41859437799267785
